Year,State,LaborForceParticipation
1976/10/1,Michigan,61.9
1976/10/1,Minnesota,66.2
1976/10/1,Mississippi,58.6
1976/10/1,Missouri,61.4
1976/10/1,Montana,62.5
1976/10/1,Nebraska,65.4
1976/10/1,Nevada,71
1976/10/1,New Hampshire,66.7
1976/10/1,New Jersey,61.9
1976/10/1,New Mexico,60.5
1976/10/1,New York,58.1
1976/10/1,North Carolina,66.1
1976/10/1,North Dakota,63.1
1976/10/1,Ohio,61.3
1976/10/1,Oklahoma,58.9
1976/10/1,Oregon,63.6
1976/10/1,Pennsylvania,58.3
1976/10/1,Rhode Island,63.2
1976/10/1,South Carolina,64.4
1976/10/1,South Dakota,64.8
1976/10/1,Tennessee,60.2
1976/10/1,Texas,63.8
1976/10/1,Utah,63
1976/10/1,Vermont,63.6
1976/10/1,Virginia,65.3
1976/10/1,Washington,62.2
1976/10/1,West Virginia,51.1
1976/10/1,Wisconsin,65.9
1976/10/1,Wyoming,66.1
1976/11/1,Alabama,57.3
1976/11/1,Alaska,69
1976/11/1,Arizona,59.9
1976/11/1,Arkansas,57.9
1976/11/1,California,62.9
1976/11/1,Colorado,67.1
1976/11/1,Connecticut,64.3
1976/11/1,Delaware,62.7
1976/11/1,District of Columbia,63.9
1976/11/1,Florida,55
1976/11/1,Georgia,64.1
1976/11/1,Hawaii,68.8
1976/11/1,Idaho,63.8
1976/11/1,Illinois,62.9
1976/11/1,Indiana,63.9
1976/11/1,Iowa,64.6
1976/11/1,Kansas,65.8
1976/11/1,Kentucky,59.8
1976/11/1,Louisiana,56.6
1976/11/1,Maine,61.3
1976/11/1,Maryland,64.5
1976/11/1,Massachusetts,64.8
1976/11/1,Michigan,61.9
1976/11/1,Minnesota,66.3
1976/11/1,Mississippi,58.6
1976/11/1,Missouri,61.5
1976/11/1,Montana,62.6
1976/11/1,Nebraska,65.5
1976/11/1,Nevada,71
1976/11/1,New Hampshire,66.7
1976/11/1,New Jersey,62
1976/11/1,New Mexico,60.7
1976/11/1,New York,58
1976/11/1,North Carolina,66
1976/11/1,North Dakota,63.2
1976/11/1,Ohio,61.3
1976/11/1,Oklahoma,58.9
1976/11/1,Oregon,63.7
1976/11/1,Pennsylvania,58.4
1976/11/1,Rhode Island,63.2
1976/11/1,South Carolina,64.4
1976/11/1,South Dakota,64.9
1976/11/1,Tennessee,60.3
1976/11/1,Texas,63.8
1976/11/1,Utah,63
1976/11/1,Vermont,63.5
1976/11/1,Virginia,65.3
1976/11/1,Washington,62.4
1976/11/1,West Virginia,51.1
1976/11/1,Wisconsin,65.9
1976/11/1,Wyoming,66.2
1976/12/1,Alabama,57.4
1976/12/1,Alaska,68.9
1976/12/1,Arizona,60
1976/12/1,Arkansas,57.9
1976/12/1,California,63
1976/12/1,Colorado,67.2
1976/12/1,Connecticut,64.3
1976/12/1,Delaware,62.9
1976/12/1,District of Columbia,63.8
1976/12/1,Florida,54.9
1976/12/1,Georgia,64.2
1976/12/1,Hawaii,68.9
1976/12/1,Idaho,63.9
1976/12/1,Illinois,62.9
1976/12/1,Indiana,63.8
1976/12/1,Iowa,64.9
1976/12/1,Kansas,65.8
1976/12/1,Kentucky,59.9
1976/12/1,Louisiana,56.6
1976/12/1,Maine,61.3
1976/12/1,Maryland,64.5
1976/12/1,Massachusetts,64.6
1976/12/1,Michigan,62
1976/12/1,Minnesota,66.3
1976/12/1,Mississippi,58.6
1976/12/1,Missouri,61.6
1976/12/1,Montana,62.7
1976/12/1,Nebraska,65.6
1976/12/1,Nevada,71.1
1976/12/1,New Hampshire,66.8
1976/12/1,New Jersey,62
1976/12/1,New Mexico,60.8
1976/12/1,New York,58
1976/12/1,North Carolina,66
1976/12/1,North Dakota,63.2
1976/12/1,Ohio,61.4
1976/12/1,Oklahoma,59
1976/12/1,Oregon,63.8
1976/12/1,Pennsylvania,58.4
1976/12/1,Rhode Island,63.2
1976/12/1,South Carolina,64.5
